Company,Price,Price Extended Hours,P/E,Market Cap,Ticker,Open,Previous Close,52 Wk High,52 Wk Low,Industry,Shares Outstanding,Volume,Volume Average,Change,Change %,Change % Extended Hours,Change Extended Hours,Date
,37.24,37.47,17.7951,21261518852.0,FE,38.62,38.39,48.85,35.4223,Electrical Utilities & IPPs,570932300.0,10795198.0,3760443.0,-1.15,-0.029956,0.006176,0.23,2022-06-24
,153.27,153.27,26.5805,9268546505.0,FFIV,152.57,150.79,249.0,148.12,Software & IT Services,60472020.0,359539.0,471277.0,2.48,0.016447,0.0,0.0,2022-06-24
,95.47,97.56,64.7814,58310326464.0,FIS,96.33,95.25,152.2,85.0,Financial Technology (Fintech) & Infrastructure,610771200.0,4435508.0,3111529.0,0.22,0.00231,0.021892000000000002,2.09,2022-06-24
,91.47,91.12,35.1359,59125659180.0,FISV,91.04,89.89,119.86,88.97,Professional & Commercial Services,646394000.0,3244620.0,2823373.0,1.58,0.017577,-0.003826,-0.35,2022-06-24
,34.73,34.73,9.9061,23827818874.0,FITB,34.91,34.58,50.64,34.11,Banking Services,686087500.0,6986731.0,4740395.0,0.15,0.004338,0.0,0.0,2022-06-24
,229.52,229.52,21.4068,17751265006.0,FLT,229.07,227.04,282.02,200.78,Professional & Commercial Services,77340820.0,579170.0,532792.0,2.48,0.010923,0.0,0.0,2022-06-24
,107.16,106.83,16.5754,13495655388.0,FMC,109.57,107.92,140.99,87.27,Chemicals,125939300.0,651941.0,920804.0,-0.76,-0.0070420000000000005,-0.00308,-0.33,2022-06-24
,30.44,30.44,15.104,17249430000.0,FOX,29.88,29.65,40.91,28.96,Media & Publishing,556749400.0,1421636.0,1301591.0,0.79,0.026644,0.0,0.0,2022-06-24
,32.83,32.83,16.0539,17249430000.0,FOXA,32.27,32.03,44.95,31.325,Media & Publishing,556749400.0,3124967.0,2709112.0,0.8,0.024977,0.0,0.0,2022-06-24
,140.28,140.91,17.4023,25200853104.0,FRC,138.99,136.96,222.86,133.37,Banking Services,179646800.0,1397642.0,1112481.0,3.32,0.024241000000000002,0.004491,0.63,2022-06-24
,95.93,95.94,28.9174,7618782663.0,FRT,96.35,95.16,140.51,94.48,Residential & Commercial REIT,79420230.0,725089.0,477388.0,0.77,0.008092,0.0001042,0.01,2022-06-24
,277.52,277.6,70.2734,44549480792.0,FTNT,272.45,269.23,371.77,227.11,Software & IT Services,160527100.0,1072362.0,1540090.0,8.29,0.030792,0.0002883,0.08,2022-06-24
,56.64,56.64,30.9173,20302489056.0,FTV,56.55,56.07,79.87,55.38,"Machinery, Equipment & Components",358447900.0,2600504.0,2522909.0,0.57,0.010166,0.0,0.0,2022-06-24
,217.92,218.5,18.4894,60517495392.0,GD,217.2,215.9,254.99,182.66,Aerospace & Defense,277705100.0,1276558.0,1464029.0,2.02,0.009356,0.002662,0.58,2022-06-24
,69.1,69.45,0.0,76055951500.0,GE,68.96,68.05,116.165,67.135,Consumer Goods Conglomerates,1100665000.0,6589373.0,6135682.0,1.05,0.01543,0.005064999999999999,0.35,2022-06-24
,58.39,59.28,16.1444,73239336070.0,GILD,57.99,57.79,74.12,57.165,Biotechnology & Medical Research,1254313000.0,6498135.0,7949084.0,0.6,0.010382,0.015242,0.89,2022-06-24
,66.34,66.66,17.7334,39950744080.0,GIS,66.5,66.45,73.99,56.67,Food & Tobacco,602212000.0,2869547.0,3402135.0,-0.11,-0.001655,0.004824,0.32,2022-06-24
,93.26,93.75,12.5002,9195398696.0,GL,91.9,89.45,108.605,85.25,Insurance,98599600.0,742851.0,453713.0,3.81,0.042594,0.005254,0.49,2022-06-24
,32.74,32.75,25.6392,27652613250.0,GLW,32.4,32.1,43.47,31.575,Electronic Equipment & Parts,844612500.0,6837207.0,4919999.0,0.64,0.019938,0.0003054,0.01,2022-06-24
,34.18,34.5,5.5112,49842677380.0,GM,33.36,33.2,67.21,32.15,Automobiles & Auto Parts,1458241000.0,19115998.0,17379568.0,0.98,0.029518,0.009362,0.32,2022-06-24
,248.54,262.7,31.8123,15864295773.0,GNRC,242.95,240.15,524.31,197.94,"Machinery, Equipment & Components",63829950.0,792999.0,1120313.0,8.39,0.034935999999999995,0.056973,14.16,2022-06-24
,2207.81,2232.9,19.3875,1408442000000.0,GOOG,2177.99,2143.88,3042.0,2044.16,Software & IT Services,658499900.0,1659601.0,1580777.0,63.93,0.029820000000000003,0.011364,25.09,2022-06-24
,2195.29,2217.5,19.3064,1408442000000.0,GOOGL,2170.9,2134.31,3030.9315,2037.6936,Software & IT Services,658499900.0,1984909.0,1907787.0,60.98,0.028571,0.010117000000000001,22.21,2022-06-24
,132.42,132.42,20.507,18750036384.0,GPC,133.08,132.44,142.97,115.63,Automobiles & Auto Parts,141595200.0,772364.0,784993.0,-0.02,-0.000151,0.0,0.0,2022-06-24
,112.85,112.58,32.1032,31771743860.0,GPN,113.93,112.15,196.88,109.33,Professional & Commercial Services,281539600.0,1670435.0,1406847.0,0.7,0.006242,-0.002393,-0.27,2022-06-24
,9.17,9.35,18.406,3374267477.0,GPS,9.27,9.12,34.485,8.75,Specialty Retailers,367968100.0,11325980.0,12656695.0,0.05,0.005482,0.019629,0.18,2022-06-24
,96.98,96.98,17.4028,18729262500.0,GRMN,96.93,96.72,178.805,95.21,Communications & Networking,193125000.0,874668.0,794722.0,0.26,0.002688,0.0,0.0,2022-06-24
,290.07,292.0,5.4845,99623613276.0,GS,287.16,282.54,426.1582,278.32,Investment Banking & Investment Services,343446800.0,2725792.0,2338667.0,7.53,0.026650999999999998,0.006654,1.93,2022-06-24
,473.06,473.06,20.7999,24174156010.0,GWW,471.8,469.9,529.91,391.16,"Machinery, Equipment & Components",51101670.0,397597.0,270593.0,3.16,0.006725,0.0,0.0,2022-06-24
,35.61,36.0,21.1813,32119361799.0,HAL,37.0,36.67,43.99,17.818,Oil & Gas Related Equipment and Services,901975900.0,12874965.0,10509710.0,-1.06,-0.028906,0.010952,0.39,2022-06-24
,81.76,81.76,27.1069,11400810624.0,HAS,80.81,80.75,105.73,80.17,Leisure Products,139442400.0,998807.0,1038331.0,1.01,0.012507999999999998,0.0,0.0,2022-06-24
,12.54,12.84,17.031,18047254500.0,HBAN,12.5,12.24,17.79,12.035,Banking Services,1439175000.0,19258702.0,12203030.0,0.3,0.02451,0.023923,0.3,2022-06-24
,10.23,10.35,7.1727,3567975411.0,HBI,10.29,10.23,20.74,10.085,Textiles & Apparel,348775700.0,6279394.0,6596120.0,0.0,0.0,0.01173,0.12,2022-06-24
,181.69,181.68,8.4075,52974440000.0,HCA,179.25,178.72,279.02,177.69,Healthcare Providers & Services,295484400.0,2534764.0,1904933.0,2.97,0.016618,-5.504e-05,-0.01,2022-06-24
,279.73,281.35,17.6897,287493906150.0,HD,281.0,278.67,420.61,275.47,Specialty Retailers,1027755000.0,4050378.0,4636726.0,1.06,0.003804,0.005790999999999999,1.62,2022-06-24
,117.16,118.0,51.4829,36467514500.0,HES,119.6,120.07,131.435,61.93,Oil & Gas,311262500.0,2910469.0,2167367.0,-2.91,-0.024236,0.007169999999999999,0.84,2022-06-24
,67.03,67.46,9.1641,22043794138.0,HIG,67.4,66.6,78.17,59.86,Insurance,328864600.0,1819019.0,1982226.0,0.43,0.006456,0.006415,0.43,2022-06-24
,205.67,205.67,15.3689,8236507623.0,HII,205.87,204.81,228.66,175.5,Aerospace & Defense,40047200.0,543939.0,339380.0,0.86,0.004199,0.0,0.0,2022-06-24
,121.89,123.33,45.9409,33925850913.0,HLT,121.31,119.14,167.99,114.7,Hotels & Entertainment Services,278331700.0,2472385.0,2233249.0,2.75,0.023082,0.011814,1.44,2022-06-24
,68.32,68.4,11.1739,16925480000.0,HOLX,68.61,67.87,81.04,61.5173,Healthcare Equipment & Supplies,249381000.0,1867010.0,2144508.0,0.45,0.0066300000000000005,0.001171,0.08,2022-06-24
,184.97,184.75,24.3483,125915164513.0,HON,184.42,183.28,236.86,174.42,Consumer Goods Conglomerates,680732900.0,2979292.0,2927821.0,1.69,0.009221,-0.001189,-0.22,2022-06-24
,14.07,14.02,4.9187,17761850000.0,HPE,13.76,13.67,17.76,12.99,"Computers, Phones & Household Electronics",1299330000.0,13743281.0,12591390.0,0.4,0.029261,-0.003554,-0.05,2022-06-24
